Source	Target	IntType	TrueNNVeri	Weight
miR-133a	MMP2	Activate	0	0.596186
miR-133a	MOK	Activate	0	0.445873
miR-133a	MS4A4E	Activate	0	0.429926
miR-133a	MUC20	Activate	0	0.129177
miR-133a	MUC6	Activate	0	0.179331
miR-133a	MYLK4	Activate	0	0.152116
miR-133a	NCKAP5	Activate	0	0.068040
miR-133a	NKAIN3	Activate	0	0.201857
miR-133a	NLRP11	Activate	0	0.039173
miR-133a	NOTCH1	Inhabit	0	-7.173470
miR-133a	NPAS3	Activate	0	0.103929
miR-133a	NPTN	Activate	0	0.254914
miR-133a	NPW	Activate	0	0.154604
miR-133a	NR1I3	Activate	0	0.414132
miR-133a	NRK	Activate	0	0.026065
miR-133a	NRXN1	Activate	0	0.279334
miR-133a	NSMCE2	Activate	0	0.467127
miR-133a	NTM	Activate	0	0.351588
miR-133a	NTN1	Activate	0	0.105283
miR-133a	NUPL2	Inhabit	0	-15.310956
miR-133a	OR2AT4	Activate	0	0.009467
miR-133a	OR51A2	Activate	0	0.028974
miR-133a	OR8H3	Activate	0	0.255572
miR-133a	PAICS	Activate	0	0.287501
miR-133a	PAK1	Activate	0	0.149084
miR-133a	PCDH8	Activate	0	0.225961
miR-133a	PCDHB6	Activate	0	0.331176
miR-133a	PDIA3	Inhabit	0	-6.264079
miR-133a	PHF20L1	Activate	0	0.041673
miR-133a	PIRT	Activate	0	0.003016
miR-133a	PKD2	Activate	0	0.218435
miR-133a	PLG	Activate	0	0.028400
miR-133a	PLP1	Activate	0	0.154177
miR-133a	PLXNA4	Activate	0	0.224542
miR-133a	PNMA2	Activate	0	0.489610
miR-133a	POLN	Activate	0	0.265864
miR-133a	POLR3G	Activate	0	0.209038
miR-133a	POU5F1	Activate	0	0.281876
miR-133a	PP12708	Activate	0	0.277043
miR-133a	PRO2012	Activate	0	0.155920
miR-133a	PRRC2C	Activate	0	0.228156
miR-133a	PTPRZ1	Activate	1	0.542832
miR-133a	RABGAP1L	Inhabit	0	-2.425824
miR-133a	RAPGEF6	Activate	1	0.286605
miR-133a	RECQL5	Activate	0	0.192459
miR-133a	REPS2	Activate	0	0.390360
miR-133a	RGS20	Activate	0	0.253320
miR-133a	RGS22	Activate	0	0.309840
miR-133a	RGS4	Activate	0	0.105804
miR-133a	RNF212	Activate	0	0.058831
miR-133a	RRP12	Activate	0	0.248173
miR-133a	RTF1	Activate	0	0.235109
miR-133a	S100B	Activate	0	0.330503
miR-133a	SEPT3	Activate	0	0.189589
miR-133a	SERP2	Activate	0	0.142381
miR-133a	SGCD	Activate	1	0.209386
miR-133a	SHISA5	Activate	1	0.527980
miR-133a	SLC26A7	Activate	0	0.394494
miR-133a	SLC2A8	Activate	0	0.192399
miR-133a	SLC38A2	Activate	0	0.190073
miR-133a	SLC38A8	Activate	0	0.133538
miR-133a	SLC5A7	Activate	0	0.044817
miR-133a	SLC7A7	Activate	0	0.157242
miR-133a	SLC9A9	Activate	0	0.362895
miR-133a	SLC9B1	Activate	0	0.209233
miR-133a	SPAG11B	Activate	0	0.268404
miR-133a	SPOP	Activate	0	0.281163
miR-133a	SPTY2D1	Activate	0	0.336488
miR-133a	SRRT	Activate	0	0.225324
miR-133a	STAG2	Activate	0	0.051292
miR-133a	STARD10	Activate	0	0.381329
miR-133a	STK36	Activate	0	0.219352
miR-133a	STK38L	Activate	0	0.148230
miR-133a	SYNGR1	Activate	0	0.149996
miR-133a	SYT17	Activate	0	0.077451
miR-133a	TAS2R10	Activate	0	0.474160
miR-133a	TAS2R19	Activate	0	0.154322
