incR0	lncipediaID	Case1	Case2	Case3	control1	control2	control3
incR75	lnc-AMZ2-8:1	4.595421	4.5983205	4.714522	3.9973557	3.2380714	3.1766846
incR76	lnc-ANAPC7-2:1	2.6564188	2.7695231	2.7521799	1.6476585	2.0331798	2.4827704
incR77	lnc-ANGEL1-5:1	3.5873873	3.7835512	3.5381098	3.4064577	2.9374063	3.0452003
incR78	lnc-ANKRD20A3-8:1	5.4058833	4.804278	4.8103776	4.5416284	3.8783739	4.24862
incR79	lnc-ANKRD42-1:1	3.2512045	3.4275403	3.6587863	3.0841367	2.5495934	2.5093637
incR80	lnc-ANKRD50-9:1	4.1846523	3.8429275	4.123674	3.54208	3.5781636	3.0575962
incR81	lnc-ANKRD56-6:1	4.6479473	4.622424	4.2184014	3.7152205	3.7788727	3.9819298
incR82	lnc-ANKS6-1:17	6.783819	6.8878355	6.699933	6.368041	6.474064	6.3356643
incR83	lnc-ANXA10-1:1	4.771926	6.114058	5.4173856	4.0349827	4.207627	4.087592
incR84	lnc-AP000525.1-6:1	4.4470577	4.448565	3.4757035	3.517778	1.7421145	2.8405924
incR85	lnc-APOL1-9:1	2.78698	2.112984	2.7613754	1.1288048	2.2001984	1.1455245
incR86	lnc-ARAP2-7:1	3.486409	2.9977577	3.136484	0.8415568	2.3958564	2.429337
incR87	lnc-ARHGAP10-4:1	3.157582	2.6860337	3.0609155	2.175837	0.8622275	1.2934197
incR88	lnc-ARHGAP44-2:1	9.200432	9.522557	8.99231	8.34766	8.935862	8.662666
incR89	lnc-ARL5C-1:2	3.0782335	3.0067172	3.8740754	2.1208687	2.9064023	2.218781
incR90	lnc-ARPP19-1:1	4.9166875	5.429836	4.7752557	3.934405	4.3897514	3.5885682
incR91	lnc-ARRDC5-4:1	3.7569382	4.145018	4.3789935	3.0312395	3.559434	3.6147778
incR92	lnc-ARSK-1:1	7.6032143	7.6081424	7.625468	7.277052	7.2572618	7.0862603
incR93	lnc-ASAP2-1:1	1.9586631	2.4933615	2.6880095	2.107955	1.1539782	1.0851235
incR94	lnc-ASAP2-2:4	3.221232	3.3645241	2.6397843	2.2566605	1.5071058	2.0495298
incR95	lnc-ASB3-6:1	3.1641273	1.8133855	2.5681162	1.0247483	1.026902	1.0345914
incR96	lnc-ASF1A-6:1	4.0260735	4.01728	2.7265482	2.06104	1.9310375	2.9729805
incR97	lnc-ATP10D-2:1	5.539082	5.3741207	4.9786916	4.5989776	4.877021	4.8362937
incR98	lnc-ATP1A1OS-1:1	3.2655983	2.9922903	3.0938804	1.4015625	2.2411602	2.7847161
incR99	lnc-ATP2A2-1:1	6.797302	6.5551624	6.6449895	6.047961	6.3947535	6.3751893
incR100	lnc-ATP5E-1:1	2.557242	1.9853098	2.9133337	0.88661087	1.8639832	1.3246725
incR101	lnc-ATP6AP1L-3:1	3.911212	3.5342686	3.7052004	2.9224017	2.8293576	3.5180118
incR102	lnc-B4GALT1-2:1	2.1426578	2.2837539	1.6770557	1.6198324	1.5721719	1.592009
incR103	lnc-BACE2-1:1	4.331951	4.234471	4.574977	3.9245365	3.9701803	3.9906101
incR104	lnc-BAI2-4:1	6.004696	5.784726	5.876925	5.607067	5.2244754	5.4397163
incR105	lnc-BASP1-13:1	5.8983374	6.1092243	5.8216286	5.7556252	5.3040833	5.4162793
incR106	lnc-BDH1-8:1	9.446741	9.468489	9.602711	9.103018	9.113929	9.122501
incR107	lnc-BDH2-3:1	4.145789	2.40904	2.4895704	2.0784273	0.90924037	1.4753108
incR108	lnc-BID-3:1	4.6409516	4.099234	4.859614	3.6234884	4.12304	3.8380804
incR109	lnc-BIN1-8:1	2.851247	2.704971	2.430531	0.90489703	1.2777236	2.1647818
incR110	lnc-BOD1L-7:1	5.9323926	6.0289145	6.195565	5.8895392	5.552738	5.472012
incR111	lnc-BOLL-5:1	3.7299533	4.276908	3.31322	3.0242288	2.5746243	3.0508258
incR112	lnc-BPHL-3:1	4.309777	4.1863465	4.720894	4.139485	3.7933428	3.8622787
incR113	lnc-BPHL-4:2	2.3223753	3.6259546	3.118976	2.355202	1.7949069	1.5398467
incR114	lnc-BRI3BP-6:1	4.812787	4.754961	4.559253	4.1890044	4.3613844	4.276843
incR115	lnc-BUB1B-4:1	2.6678116	2.549031	2.9543514	0.9376031	1.9805673	2.275229
incR116	lnc-C10orf28-2:1	2.4795434	2.2176473	2.2427125	1.7185705	1.4387442	1.3129516
incR117	lnc-C10orf68-3:1	2.941538	3.1364384	2.5739944	0.8194705	1.075507	1.4543062
incR118	lnc-C10orf85-7:1	4.970751	4.885056	5.010875	4.0577407	4.4128404	3.8816035
incR119	lnc-C11orf44-14:1	4.6435614	4.1008615	3.8301945	3.2966106	3.3438773	3.4269333
incR120	lnc-C11orf58-5:1	3.8493516	3.1199615	3.7341795	2.5025048	2.6174326	1.4656932
incR121	lnc-C12orf42-4:1	2.9597664	2.465115	2.9305983	1.5281819	1.5809221	2.406889
incR122	lnc-C12orf49-2:1	2.549454	2.3842783	2.3511348	2.2273002	1.7059171	1.8193452
